key	src	tgt	srctype	tgttype
t14/epsg:4737>epsg:32007	epsg:4737	epsg:32007	1	4
t20/epsg:3906>epsg:2012	epsg:3906	epsg:2012	2	0
t20/epsg:4132>epsg:2025	epsg:4132	epsg:2025	2	0
t20/epsg:4145>epsg:2081	epsg:4145	epsg:2081	2	0
t20/epsg:4155>epsg:2163	epsg:4155	epsg:2163	2	0
t20/epsg:4168>epsg:2328	epsg:4168	epsg:2328	2	0
t20/epsg:4192>epsg:2341	epsg:4192	epsg:2341	2	0
t20/epsg:4207>epsg:2353	epsg:4207	epsg:2353	2	0
t20/epsg:4214>epsg:2366	epsg:4214	epsg:2366	2	0
t21/epsg:3906>epsg:2048	epsg:3906	epsg:2048	2	1
t21/epsg:4132>epsg:2108	epsg:4132	epsg:2108	2	1
t21/epsg:4145>epsg:2121	epsg:4145	epsg:2121	2	1
t21/epsg:4155>epsg:2134	epsg:4155	epsg:2134	2	1
t21/epsg:4168>epsg:2150	epsg:4168	epsg:2150	2	1
t21/epsg:4192>epsg:2193	epsg:4192	epsg:2193	2	1
t21/epsg:4207>epsg:22174	epsg:4207	epsg:22174	2	1
t21/epsg:4214>epsg:2224	epsg:4214	epsg:2224	2	1
t22/epsg:3906>epsg:2006	epsg:3906	epsg:2006	2	2
t22/epsg:4132>epsg:20355	epsg:4132	epsg:20355	2	2
t22/epsg:4145>epsg:2044	epsg:4145	epsg:2044	2	2
t22/epsg:4155>epsg:2064	epsg:4155	epsg:2064	2	2
t22/epsg:4168>epsg:2079	epsg:4168	epsg:2079	2	2
t22/epsg:4192>epsg:2092	epsg:4192	epsg:2092	2	2
t22/epsg:4207>epsg:21100	epsg:4207	epsg:21100	2	2
t22/epsg:4214>epsg:21418	epsg:4214	epsg:21418	2	2
t23/epsg:3906>epsg:20009	epsg:3906	epsg:20009	2	3
t23/epsg:4132>epsg:20022	epsg:4132	epsg:20022	2	3
t23/epsg:4145>epsg:20066	epsg:4145	epsg:20066	2	3
t23/epsg:4155>epsg:20079	epsg:4155	epsg:20079	2	3
t23/epsg:4168>epsg:20092	epsg:4168	epsg:20092	2	3
t23/epsg:4192>epsg:2094	epsg:4192	epsg:2094	2	3
t23/epsg:4207>epsg:2392	epsg:4207	epsg:2392	2	3
t23/epsg:4214>epsg:2468	epsg:4214	epsg:2468	2	3
t24/epsg:3906>epsg:26703	epsg:3906	epsg:26703	2	4
t24/epsg:4132>epsg:26716	epsg:4132	epsg:26716	2	4
t24/epsg:4145>epsg:26735	epsg:4145	epsg:26735	2	4
t24/epsg:4155>epsg:26748	epsg:4155	epsg:26748	2	4
t24/epsg:4168>epsg:26766	epsg:4168	epsg:26766	2	4
t24/epsg:4192>epsg:26779	epsg:4192	epsg:26779	2	4
t24/epsg:4207>epsg:26795	epsg:4207	epsg:26795	2	4
t24/epsg:4214>epsg:32007	epsg:4214	epsg:32007	2	4
t30/epsg:3819>epsg:2012	epsg:3819	epsg:2012	3	0
t30/epsg:4188>epsg:2025	epsg:4188	epsg:2025	3	0
t30/epsg:4232>epsg:2081	epsg:4232	epsg:2081	3	0
t30/epsg:4289>epsg:2163	epsg:4289	epsg:2163	3	0
t30/epsg:4322>epsg:2328	epsg:4322	epsg:2328	3	0
t30/epsg:4660>epsg:2341	epsg:4660	epsg:2341	3	0
t30/epsg:4691>epsg:2353	epsg:4691	epsg:2353	3	0
t30/epsg:4817>epsg:2366	epsg:4817	epsg:2366	3	0
t31/epsg:3819>epsg:2048	epsg:3819	epsg:2048	3	1
t31/epsg:4188>epsg:2108	epsg:4188	epsg:2108	3	1
t31/epsg:4232>epsg:2121	epsg:4232	epsg:2121	3	1
t31/epsg:4289>epsg:2134	epsg:4289	epsg:2134	3	1
t31/epsg:4322>epsg:2150	epsg:4322	epsg:2150	3	1
t31/epsg:4660>epsg:2193	epsg:4660	epsg:2193	3	1
t31/epsg:4691>epsg:22174	epsg:4691	epsg:22174	3	1
t31/epsg:4817>epsg:2224	epsg:4817	epsg:2224	3	1
t32/epsg:3819>epsg:2006	epsg:3819	epsg:2006	3	2
t32/epsg:4188>epsg:20355	epsg:4188	epsg:20355	3	2
t32/epsg:4232>epsg:2044	epsg:4232	epsg:2044	3	2
t32/epsg:4289>epsg:2064	epsg:4289	epsg:2064	3	2
t32/epsg:4322>epsg:2079	epsg:4322	epsg:2079	3	2
t32/epsg:4660>epsg:2092	epsg:4660	epsg:2092	3	2
t32/epsg:4691>epsg:21100	epsg:4691	epsg:21100	3	2
t32/epsg:4817>epsg:21418	epsg:4817	epsg:21418	3	2
t33/epsg:3819>epsg:20009	epsg:3819	epsg:20009	3	3
t33/epsg:4188>epsg:20022	epsg:4188	epsg:20022	3	3
t33/epsg:4232>epsg:20066	epsg:4232	epsg:20066	3	3
t33/epsg:4289>epsg:20079	epsg:4289	epsg:20079	3	3
t33/epsg:4322>epsg:20092	epsg:4322	epsg:20092	3	3
t33/epsg:4660>epsg:2094	epsg:4660	epsg:2094	3	3
t33/epsg:4691>epsg:2392	epsg:4691	epsg:2392	3	3
t33/epsg:4817>epsg:2468	epsg:4817	epsg:2468	3	3
t34/epsg:3819>epsg:26703	epsg:3819	epsg:26703	3	4
t34/epsg:4188>epsg:26716	epsg:4188	epsg:26716	3	4
t34/epsg:4232>epsg:26735	epsg:4232	epsg:26735	3	4
t34/epsg:4289>epsg:26748	epsg:4289	epsg:26748	3	4
t34/epsg:4322>epsg:26766	epsg:4322	epsg:26766	3	4
t34/epsg:4660>epsg:26779	epsg:4660	epsg:26779	3	4
t34/epsg:4691>epsg:26795	epsg:4691	epsg:26795	3	4
t34/epsg:4817>epsg:32007	epsg:4817	epsg:32007	3	4
t40/epsg:4267>epsg:2012	epsg:4267	epsg:2012	4	0
t40/epsg:4267>epsg:2163	epsg:4267	epsg:2163	4	0
t40/epsg:4267>epsg:2353	epsg:4267	epsg:2353	4	0
t40/esri:104000>epsg:2025	esri:104000	epsg:2025	4	0
t40/esri:104000>epsg:2328	esri:104000	epsg:2328	4	0
t40/esri:104000>epsg:2366	esri:104000	epsg:2366	4	0
t40/esri:4267>epsg:2081	esri:4267	epsg:2081	4	0
t40/esri:4267>epsg:2341	esri:4267	epsg:2341	4	0
t41/epsg:4267>epsg:2048	epsg:4267	epsg:2048	4	1
t41/epsg:4267>epsg:2134	epsg:4267	epsg:2134	4	1
t41/epsg:4267>epsg:22174	epsg:4267	epsg:22174	4	1
t41/esri:104000>epsg:2108	esri:104000	epsg:2108	4	1
t41/esri:104000>epsg:2150	esri:104000	epsg:2150	4	1
t41/esri:104000>epsg:2224	esri:104000	epsg:2224	4	1
t41/esri:4267>epsg:2121	esri:4267	epsg:2121	4	1
t41/esri:4267>epsg:2193	esri:4267	epsg:2193	4	1
t42/epsg:4267>epsg:2006	epsg:4267	epsg:2006	4	2
t42/epsg:4267>epsg:2064	epsg:4267	epsg:2064	4	2
t42/epsg:4267>epsg:21100	epsg:4267	epsg:21100	4	2
t42/esri:104000>epsg:20355	esri:104000	epsg:20355	4	2
t42/esri:104000>epsg:2079	esri:104000	epsg:2079	4	2
t42/esri:104000>epsg:21418	esri:104000	epsg:21418	4	2
t42/esri:4267>epsg:2044	esri:4267	epsg:2044	4	2
t42/esri:4267>epsg:2092	esri:4267	epsg:2092	4	2
t43/epsg:4267>epsg:20009	epsg:4267	epsg:20009	4	3
t43/epsg:4267>epsg:20079	epsg:4267	epsg:20079	4	3
t43/epsg:4267>epsg:2392	epsg:4267	epsg:2392	4	3
t43/esri:104000>epsg:20022	esri:104000	epsg:20022	4	3
t43/esri:104000>epsg:20092	esri:104000	epsg:20092	4	3
t43/esri:104000>epsg:2468	esri:104000	epsg:2468	4	3
t43/esri:4267>epsg:20066	esri:4267	epsg:20066	4	3
t43/esri:4267>epsg:2094	esri:4267	epsg:2094	4	3
t44/epsg:4267>epsg:26703	epsg:4267	epsg:26703	4	4
t44/epsg:4267>epsg:26748	epsg:4267	epsg:26748	4	4
t44/epsg:4267>epsg:26795	epsg:4267	epsg:26795	4	4
t44/esri:104000>epsg:26716	esri:104000	epsg:26716	4	4
t44/esri:104000>epsg:26766	esri:104000	epsg:26766	4	4
t44/esri:104000>epsg:32007	esri:104000	epsg:32007	4	4
t44/esri:4267>epsg:26735	esri:4267	epsg:26735	4	4
t44/esri:4267>epsg:26779	esri:4267	epsg:26779	4	4
