section	key	srcproj	tgtproj	params
CSV	proj4-epsg.csv:00746	longlat	tmerc	a,b,datum,k,lat_0,lon_0,no_defs,proj,units,x_0,y_0
CSV	proj4-epsg.csv:00747	longlat	tmerc	a,b,datum,k,lat_0,lon_0,no_defs,proj,units,x_0,y_0
CSV	proj4-epsg.csv:00748	longlat	tmerc	a,b,datum,k,lat_0,lon_0,no_defs,proj,units,x_0,y_0
CSV	proj4-epsg.csv:00749	longlat	tmerc	a,b,datum,k,lat_0,lon_0,no_defs,proj,units,x_0,y_0
CSV	proj4-epsg.csv:00750	longlat	tmerc	a,b,datum,k,lat_0,lon_0,no_defs,proj,units,x_0,y_0
CSV	proj4-epsg.csv:00751	longlat	tmerc	a,b,datum,k,lat_0,lon_0,no_defs,proj,units,x_0,y_0
CSV	proj4-epsg.csv:00752	longlat	tmerc	a,b,datum,k,lat_0,lon_0,no_defs,proj,units,x_0,y_0
CSV	proj4-epsg.csv:00753	longlat	tmerc	a,b,datum,k,lat_0,lon_0,no_defs,proj,units,x_0,y_0
CSV	proj4-epsg.csv:00754	longlat	tmerc	a,b,datum,k,lat_0,lon_0,no_defs,proj,units,x_0,y_0
CSV	proj4-epsg.csv:00755	longlat	tmerc	a,b,datum,k,lat_0,lon_0,no_defs,proj,units,x_0,y_0
CSV	proj4-epsg.csv:00756	longlat	tmerc	a,b,datum,k,lat_0,lon_0,no_defs,proj,units,x_0,y_0
CSV	proj4-epsg.csv:00757	longlat	tmerc	a,b,datum,k,lat_0,lon_0,no_defs,proj,units,x_0,y_0
CSV	proj4-epsg.csv:00758	longlat	tmerc	a,b,datum,k,lat_0,lon_0,no_defs,proj,units,x_0,y_0
CSV	proj4-epsg.csv:00759	longlat	tmerc	a,b,datum,k,lat_0,lon_0,no_defs,proj,units,x_0,y_0
CSV	proj4-epsg.csv:00760	longlat	tmerc	a,b,datum,k,lat_0,lon_0,no_defs,proj,units,x_0,y_0
CSV	proj4-epsg.csv:00761	longlat	tmerc	a,b,datum,k,lat_0,lon_0,no_defs,proj,units,x_0,y_0
CSV	proj4-epsg.csv:00762	longlat	tmerc	a,b,datum,k,lat_0,lon_0,no_defs,proj,units,x_0,y_0
CSV	proj4-epsg.csv:00763	longlat	tmerc	a,b,datum,k,lat_0,lon_0,no_defs,proj,units,x_0,y_0
CSV	proj4-epsg.csv:00764	longlat	tmerc	datum,ellps,k,lat_0,lon_0,no_defs,proj,towgs84,units,x_0,y_0
CSV	proj4-epsg.csv:00765	longlat	tmerc	datum,ellps,k,lat_0,lon_0,no_defs,proj,towgs84,units,x_0,y_0
CSV	proj4-epsg.csv:00766	longlat	tmerc	datum,ellps,k,lat_0,lon_0,no_defs,proj,towgs84,units,x_0,y_0
CSV	proj4-epsg.csv:00767	longlat	tmerc	datum,ellps,k,lat_0,lon_0,no_defs,proj,towgs84,units,x_0,y_0
CSV	proj4-epsg.csv:00768	longlat	tmerc	datum,ellps,k,lat_0,lon_0,no_defs,proj,towgs84,units,x_0,y_0
CSV	proj4-epsg.csv:00769	longlat	tmerc	datum,ellps,k,lat_0,lon_0,no_defs,proj,towgs84,units,x_0,y_0
CSV	proj4-epsg.csv:00770	longlat	tmerc	datum,ellps,k,lat_0,lon_0,no_defs,proj,towgs84,units,x_0,y_0
CSV	proj4-epsg.csv:00771	longlat	tmerc	datum,ellps,k,lat_0,lon_0,no_defs,proj,towgs84,units,x_0,y_0
CSV	proj4-epsg.csv:00772	longlat	tmerc	datum,ellps,k,lat_0,lon_0,no_defs,proj,towgs84,units,x_0,y_0
CSV	proj4-epsg.csv:00773	longlat	tmerc	datum,ellps,k,lat_0,lon_0,no_defs,proj,towgs84,units,x_0,y_0
CSV	proj4-epsg.csv:00774	longlat	tmerc	datum,ellps,k,lat_0,lon_0,no_defs,proj,towgs84,units,x_0,y_0
